name,player_id,guild_name,guild_id,points,battles
Schreck 31.,9866839,Astra 💫 Australis,20187,9068688053,1528107
Pitty die Einzigartige,9052762,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,8475726520,1448350
MichTo,4087524,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,8448861676,1644851
Ronzel66,4025760,Force of Nature,21629,8373626278,1080102
Shioban,8647643,Outsiders,343,7988263691,1147328
Alcina,2134567,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,7659677930,1647291
Diora,7970148,🥇 Neuaufsteher 🥇,12806,7620193169,1040682
Lord 300,849847657,Outsiders,343,7546665068,1157007
Waranus,3990889,Outsiders,343,7474307147,1640024
Sir Kiran,4378638,🐉DragonRocker🏴‍☠️,7226,7409285226,1398733
Trotha,5853737,Outsiders,343,7356108670,1407868
Scofield 47,2485748,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,7325977119,1174934
Müsli x,7784860,Die Flitzpiepen 🦄,20795,7317991347,1442901
Frankyboy1801,5864888,FunFighters,3537,7258707540,1250826
Hugo Who?,5113380,Outsiders,343,7057345289,1235449
oO AntaresAngel Oo,4087205,Outsiders,343,7013291301,1309332
Bongo der Kampfhamster,7723206,Outsiders,343,6961347625,1198166
The Mighty Bull,5691099,Outsiders,343,6909569395,1193934
Muwatallis,8841508,Outsiders,343,6586747143,1227916
Gurney Halleck,10354135,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,6416329633,1169664
Schwanenkönigin,8585464,Ohschlafe,25725,6405797106,1168405
Epiktet Roma,2351138,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,6256283156,925536
Floderix,6067897,Fighting Porcupines,22345,6237302772,1010653
Slow,8309922,Kunyaza,21880,6202636900,1453808
ser allisar,2332553,Black Phönix,17642,6148512269,1262148
ArKa 74,2343149,🥇 Neuaufsteher 🥇,12806,6058421849,1039671
Lennart1909,2482567,Outsiders,343,5876775985,964136
Rasasgul123,8510767,🥇 Neuaufsteher 🥇,12806,5815977447,1194374
Zoryc,5170413,Weisse Rose,6843,5805617736,1098136
Elektra 1,6359913,🥇 Neuaufsteher 🥇,12806,5805121622,861873
Teldus,3235403,🥇 Neuaufsteher 🥇,12806,5767853260,1065916
*Grobi*,9718409,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,5754003686,1215321
